word,freq
iraq,27521
afghanistan,18920
pakistan,15504
india,13929
colombia,8915
united,8656
philippines,8271
peru,6111
yemen,6035
nigeria,5550
kingdom,5513
salvador,5320
somalia,5317
turkey,4485
thailand,4201
spain,3255
west,3210
states,3121
lanka,3041
sri,3041
syria,2997
algeria,2753
france,2751
and,2698
bank,2669
gaza,2669
strip,2669
egypt,2654
lebanon,2507
libya,2505
chile,2499
south,2462
russia,2242
israel,2203
africa,2097
republic,2060
guatemala,2055
nicaragua,1983
ukraine,1818
bangladesh,1743
italy,1603
nepal,1551
congo,1538
the,1538
democratic,1498
germany,1395
sudan,1391
greece,1386
mali,1009
cameroon,879
kenya,850
indonesia,850
argentina,826
mozambique,785
myanmar,743
iran,712
burundi,636
mexico,600
arabia,582
saudi,582
frg,541
angola,501
uganda,413
japan,405
burkina,395
faso,395
african,382
central,382
ireland,333
honduras,330
bolivia,326
venezuela,320
brazil,295
china,288
ethiopia,280
cambodia,261
niger,257
ecuador,245
haiti,224
georgia,219
bahrain,208
yugoslavia,203
kosovo,201
tajikistan,193
new,178
netherlands,177
rwanda,168
belgium,161
bosniaherzegovina,161
namibia,151
tunisia,150
sweden,146
portugal,141
chad,132
cyprus,130
panama,127
canada,126
senegal,122
jordan,121
paraguay,120
australia,120
austria,120
guinea,118
macedonia,118
switzerland,116
malaysia,109
zimbabwe,106
leone,101
sierra,101
dominican,89
papua,89
rhodesia,83
uruguay,82
albania,82
coast,81
ivory,81
soviet,78
union,78
kuwait,76
tanzania,71
costa,69
rica,69
suriname,66
zambia,62
croatia,58
guadeloupe,56
caledonia,55
taiwan,54
bulgaria,54
zaire,50
azerbaijan,50
east,48
togo,48
hungary,47
denmark,45
poland,42
korea,41
kyrgyzstan,39
gdr,38
morocco,37
jamaica,36
liberia,35
ghana,34
zealand,33
guyana,33
macau,33
czech,32
kazakhstan,31
cuba,30
lesotho,29
maldives,29
laos,27
madagascar,27
hong,26
kong,26
tobago,25
trinidad,25
finland,25
armenia,25
norway,24
malta,23
arab,22
emirates,22
djibouti,22
moldova,21
uzbekistan,21
mauritania,19
slovak,19
fiji,17
latvia,17
eritrea,17
swaziland,16
luxembourg,16
estonia,15
belarus,15
serbia,14
vietnam,13
martinique,12
malawi,12
serbiamontenegro,11
czechoslovakia,10
botswana,10
french,10
lithuania,10
benin,10
timor,10
gabon,9
guineabissau,9
belize,8
comoros,8
montenegro,8
singapore,7
north,7
sahara,7
western,7
qatar,7
guiana,7
brunei,6
romania,6
slovenia,6
bhutan,6
bahamas,5
grenada,5
islands,5
peoples,4
dominica,4
iceland,4
solomon,4
barbados,3
gambia,3
polynesia,3
seychelles,2
mauritius,2
equatorial,2
kitts,2
nevis,2
vanuatu,2
lucia,2
turkmenistan,2
andorra,1
hebrides,1
city,1
vatican,1
falkland,1
antigua,1
barbuda,1
futuna,1
wallis,1
international,1
